date,no2,co,so2,o3,pm10,pm25,ndvi
2014-02-18,1.73,0.0852588888888889,0.8254444444444443,40.12,19.66,13.739999999999998,0.42533333333333334
2014-02-19,1.99,0.08182444444444445,0.8185555555555556,37.89,21.73,15.21,0.492
2014-02-20,1.26,0.07915333333333334,0.8648888888888889,36.22,21.81,15.29,0.4249444444444444
2014-02-21,1.08,0.07867666666666667,0.5031111111111112,34.89,16.79,11.65,0.4843333333333334
2014-02-22,0.93,0.09079222222222223,0.4953333333333333,39.42,16.37,10.48,0.41949999999999993
2014-02-23,0.97,0.09085333333333333,0.3868888888888889,39.62,23.62,15.07,0.47844444444444445
2014-02-24,0.8600000000000001,0.09155444444444445,0.4202222222222222,39.99,17.47,11.48,0.4217222222222222
2014-02-25,1.5,0.08664333333333334,0.5025555555555555,39.45,19.38,13.12,0.4787222222222222
2014-02-26,1.68,0.08391444444444446,0.5274444444444444,38.62,23.24,15.359999999999998,0.4731111111111111
2014-02-27,0.94,0.0769988888888889,0.4,38.2,15.87,10.42,0.4217222222222222
2014-02-28,1.05,0.07604555555555556,0.4925555555555555,37.91,12.95,8.65,0.4458888888888889
2014-03-01,1.39,0.07524333333333334,0.6221111111111112,36.76,12.3,8.6,0.4125
2014-03-02,1.57,0.07472222222222223,0.4292222222222222,37.9,12.94,9.04,0.4756666666666667
2014-03-03,1.44,0.07653777777777777,0.8536666666666667,38.32,16.43,11.489999999999998,0.4053888888888889
2014-03-04,1.74,0.08038444444444445,0.6033333333333333,36.47,22.03,15.5,0.4684444444444445
2014-03-05,1.85,0.10479222222222223,0.9112222222222223,34.67,23.99,16.95,0.4705
2014-03-06,1.46,0.09788666666666666,0.4915555555555556,33.43,22.14,15.59,0.40427777777777774
2014-03-07,1.63,0.1319,0.45688888888888896,35.34,25.58,17.71,0.4636666666666666
2014-03-08,1.31,0.11601999999999998,0.3886666666666667,38.62,23.86,16.69,0.3993333333333333
2014-03-09,1.3,0.10321444444444446,0.5075555555555555,36.41,18.47,13.0,0.46938888888888886
2014-03-10,0.88,0.10547666666666668,0.34977777777777774,34.69,19.25,13.390000000000002,0.39527777777777773
2014-03-11,0.62,0.10448444444444444,0.45688888888888896,33.53,23.060000000000002,15.219999999999999,0.4658333333333333
2014-03-12,0.78,0.10047111111111112,0.35688888888888887,41.72,24.689999999999998,15.59,0.39527777777777773
2014-03-13,1.03,0.09422999999999998,0.4451111111111111,39.83,21.95,14.35,0.4658333333333333
2014-03-14,1.15,0.08922777777777778,0.5237777777777778,38.43,16.61,11.05,0.46444444444444444
2014-03-15,0.9599999999999999,0.08126888888888889,0.4935555555555556,38.22,13.04,8.72,0.4031666666666666
2014-03-16,0.71,0.10462666666666666,0.37666666666666665,42.12,27.75,18.72,0.4710555555555556
2014-03-17,0.62,0.10015555555555555,0.3884444444444445,42.8,20.05,13.73,0.4053333333333333
2014-03-18,0.8600000000000001,0.09794555555555556,0.3692222222222222,39.22,26.89,18.18,0.45266666666666666
2014-03-19,1.32,0.09201444444444444,0.3794444444444444,38.81,20.97,14.219999999999999,0.39861111111111114
2014-03-20,1.41,0.08344555555555556,0.4,38.36,12.780000000000001,8.77,0.43777777777777777
2014-03-21,0.8899999999999999,0.07445333333333333,0.4202222222222222,38.18,21.56,13.989999999999998,0.43777777777777777
2014-03-22,0.53,0.07632111111111112,0.3,36.42,19.92,12.82,0.4048333333333334
2014-03-23,0.77,0.07188333333333333,0.29744444444444446,38.64,18.46,11.81,0.43777777777777777
2014-03-24,1.08,0.06956333333333334,0.6416666666666667,37.06,16.06,10.63,0.4048333333333334
2014-03-25,1.37,0.07452444444444445,0.6916666666666665,35.95,13.890000000000002,9.37,0.43777777777777777
2014-03-26,1.49,0.08265333333333333,0.740111111111111,38.85,11.93,8.14,0.4048333333333334
2014-03-27,1.73,0.07976,0.7883333333333333,36.66,13.48,9.18,0.43777777777777777
2014-03-28,1.6,0.07441222222222223,0.7151111111111111,34.75,16.3,11.06,0.40155555555555555
2014-03-29,2.14,0.07455,0.8822222222222222,33.08,20.6,14.2,0.43405555555555553
2014-03-30,1.77,0.08185222222222223,0.8632222222222222,33.26,17.79,12.25,0.4415555555555556
2014-03-31,2.18,0.09145777777777778,0.9445555555555555,33.64,15.84,11.12,0.4142777777777778
2014-04-01,3.11,0.08608555555555555,0.7684444444444444,33.75,20.22,14.280000000000001,0.45577777777777784
2014-04-02,3.13,0.08286888888888888,0.9515555555555556,32.51,22.79,16.13,0.41088888888888886
2014-04-03,2.57,0.07362,0.8137777777777777,32.04,20.9,14.69,0.44727777777777783
2014-04-04,2.21,0.07399111111111112,0.7971111111111112,33.02,16.88,11.890000000000002,0.4043888888888889
2014-04-05,2.0,0.0714911111111111,0.6053333333333333,32.52,14.06,9.91,0.41988888888888887
2014-04-06,2.25,0.06872,0.604,32.62,22.52,15.510000000000002,0.4390555555555556
2014-04-07,2.04,0.06802555555555556,0.41922222222222216,32.02,20.75,14.3,0.396
2014-04-08,2.39,0.07994777777777778,0.43077777777777776,36.96,30.689999999999998,21.25,0.44255555555555554
2014-04-09,1.73,0.0854,0.6054444444444443,38.18,25.770000000000003,17.94,0.4003333333333333
2014-04-10,1.5899999999999999,0.08040333333333333,0.5872222222222222,37.19,19.96,13.77,0.42083333333333334
2014-04-11,1.38,0.0786,0.4407777777777778,36.99,17.26,11.92,0.39977777777777773
2014-04-12,1.56,0.07995333333333333,0.6823333333333333,36.7,22.21,15.18,0.4207222222222222
2014-04-13,1.39,0.07667666666666667,0.556888888888889,36.69,24.15,16.4,0.39505555555555555
2014-04-14,1.26,0.07876888888888889,0.48688888888888887,36.9,20.56,13.94,0.4207222222222222
2014-04-15,1.2,0.07772333333333334,0.3776666666666667,36.54,18.95,12.7,0.4207222222222222
2014-04-16,1.02,0.09738000000000001,0.3586666666666667,37.12,23.66,15.98,0.39505555555555555
2014-04-17,1.36,0.10632555555555556,0.4292222222222222,38.28,17.48,12.04,0.42077777777777775
2014-04-18,1.21,0.09682777777777776,0.45688888888888896,40.17,12.91,8.83,0.39505555555555555
2014-04-19,1.41,0.08696888888888889,0.4776666666666667,40.11,12.65,8.83,0.41922222222222216
2014-04-20,1.56,0.08623666666666667,0.6482222222222223,38.06,15.54,10.95,0.41144444444444445
2014-04-21,1.75,0.08402,0.44922222222222224,35.19,13.94,9.78,0.43116666666666664
2014-04-22,1.61,0.09526888888888888,0.49922222222222223,35.2,13.469999999999999,9.47,0.4275555555555555
2014-04-23,1.85,0.08424444444444444,0.5082222222222222,34.51,21.52,14.989999999999998,0.41811111111111116
2014-04-24,2.05,0.08626666666666666,0.7913333333333333,33.49,18.39,12.94,0.43655555555555553
2014-04-25,1.86,0.08312888888888889,0.9354444444444444,34.13,18.2,12.85,0.43316666666666664
2014-04-26,2.17,0.07823666666666666,0.9107777777777778,31.83,16.56,11.73,0.44233333333333336
2014-04-27,2.28,0.08128777777777778,0.8976666666666667,30.87,15.239999999999998,10.78,0.43538888888888894
2014-04-28,2.69,0.07431333333333333,0.9706666666666667,29.729999999999997,17.59,12.390000000000002,0.45805555555555555
2014-04-29,2.31,0.07573,1.099888888888889,29.84,20.1,14.21,0.42733333333333334
2014-04-30,2.03,0.07723888888888888,1.1754444444444443,29.810000000000002,23.469999999999995,16.63,0.4507777777777778
2014-05-01,2.2,0.07629777777777777,0.950111111111111,30.3,14.859999999999998,10.51,0.49522222222222223
2014-05-02,1.52,0.07233111111111111,0.9674444444444443,30.4,17.62,12.41,0.43694444444444447
2014-05-03,1.76,0.07636333333333334,0.883,33.64,13.93,9.83,0.498
2014-05-04,1.4,0.08233777777777777,0.5953333333333333,36.44,13.52,9.39,0.4332777777777778
2014-05-05,1.6699999999999997,0.07548333333333333,0.6547777777777778,35.74,14.15,9.88,0.4836111111111111
2014-05-06,1.77,0.07059333333333333,0.6643333333333334,34.08,14.83,10.37,0.4336111111111111
2014-05-07,1.39,0.06980444444444445,0.6347777777777778,35.65,11.18,7.77,0.47938888888888886
2014-05-08,1.8300000000000003,0.07167333333333334,0.8602222222222222,33.34,19.09,13.37,0.47805555555555557
2014-05-09,1.8,0.0707688888888889,0.8356666666666666,28.84,27.030000000000005,18.69,0.43855555555555553
2014-05-10,1.81,0.07225333333333334,0.859111111111111,29.65,23.55,16.38,0.47805555555555557
2014-05-11,1.62,0.07104555555555556,0.82,30.74,22.82,15.84,0.4282777777777778
2014-05-12,1.57,0.07407000000000001,0.7955555555555557,32.13,14.59,10.16,0.4691666666666667
2014-05-13,1.79,0.06779,0.7507777777777777,32.66,15.52,10.82,0.4315
2014-05-14,1.6699999999999997,0.06511666666666667,0.5811111111111111,31.770000000000003,14.510000000000002,10.15,0.47644444444444445
2014-05-15,1.85,0.06319999999999999,0.4948888888888889,30.6,17.04,11.989999999999998,0.4432777777777778
2014-05-16,1.5800000000000003,0.06161222222222223,0.2271111111111111,29.74,11.25,7.92,0.503
2014-05-17,1.74,0.06338666666666666,0.8944444444444445,31.05,15.77,11.07,0.5064444444444445
2014-05-18,1.77,0.06319777777777778,0.7684444444444444,30.93,19.15,13.42,0.4432777777777778
2014-05-19,1.9,0.0701611111111111,0.9976666666666667,31.63,18.72,13.16,0.5042777777777777
2014-05-20,1.88,0.07187444444444445,0.9892222222222222,31.2,16.76,11.83,0.45238888888888884
